Location,Indicator,Indicator units,Age,Year,Mean estimate,Sex,Scenario type
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1998,15.9294599560413,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1999,15.1871947224837,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2000,14.4736358775003,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2001,13.6435980844723,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2002,12.9437014480593,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2003,12.3439717703061,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2004,11.7990871673758,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2005,11.3209812295704,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2006,10.8723257761577,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2007,10.426507067918,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2008,10.0052074456888,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2009,9.60873263578139,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2010,9.23978486615188,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2011,8.91036832736805,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2012,8.61043086977803,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2013,8.34142099497502,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2014,8.10789559256518,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2015,7.88619683664494,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2016,7.66947781046068,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2017,7.45747182933526,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2018,7.24709510609843,All sexes,Reference
Ecuador,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2019,7.05727263995739,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1990,68,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1991,59,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1992,87,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1993,85,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1994,84,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1995,83,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1996,82,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1997,81,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1998,85,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,1999,79,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2000,87,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2001,89,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2002,88,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2003,87,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2004,88,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2005,92,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2006,96,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2007,96,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2008,96,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2009,94,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2010,91,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2011,88,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2012,87,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2013,87,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2014,83,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2015,78,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2016,83,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2017,85,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2018,85,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2019,85,All sexes,Reference
Ecuador,"Immunization, DPT",% of children,12-23 months,2020,70,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2000,36,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2001,69,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2002,75,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2003,82,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2004,88,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2005,92,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2006,96,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2007,94,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2008,93,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2009,91,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2010,90,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2011,88,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2012,88,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2013,87,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2014,83,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2015,78,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2016,83,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2017,85,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2018,85,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2019,85,All sexes,Reference
Ecuador,"Immunization, HepB3",% of one-year-old children,12-23 months,2020,70,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2000,69.433998,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2001,70.461472,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2002,71.433266,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2003,72.369781,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2004,73.301224,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2005,74.497414,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2006,75.693741,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2007,76.890602,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2008,78.087608,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2009,79.284767,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2010,80.482269,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2011,81.675301,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2012,82.866196,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2013,84.058586,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2014,85.252327,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2015,86.447662,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2016,87.644371,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2017,88.735352,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2018,89.66716,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2019,90.597221,All sexes,Reference
Ecuador,People using at least basic sanitation services,% of population,all,2020,91.524925,All sexes,Reference
Ecuador,"Contraceptive prevalence, modern methods",% of women,15-49,2004,73.3,All sexes,Reference
Ecuador,"Contraceptive prevalence, modern methods",% of women,15-49,2012,79.4,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2000,64,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2001,63,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2002,60,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2003,57,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2004,54,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2005,52,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2006,50,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2007,47,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2008,45,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2009,45,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2010,45,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2011,42,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2012,42,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2013,40,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2014,39,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2015,39,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2016,38,All sexes,Reference
"Egypt, Arab Rep.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2017,37,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1990,85.5041504597847,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1991,81.3701461757502,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1992,77.2824076666886,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1993,73.1170325518361,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1994,68.8489273276124,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1995,64.5816417150229,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1996,60.4487134046986,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1997,56.5445982207392,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1998,52.9278711915145,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,1999,49.6266882980934,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2000,46.6486674366491,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2001,43.9442069115593,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2002,41.5478912235739,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2003,39.4135527866486,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2004,37.5145618425816,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2005,35.8140025152517,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2006,34.2551064608485,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2007,32.7973359265086,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2008,31.3841470693831,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2009,30.0487679885754,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2010,28.78779609736,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2011,27.5494057690944,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2012,26.3815332535191,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2013,25.2818216396186,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2014,24.3090938333939,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2015,23.3998882192691,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2016,22.5676007585169,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2017,21.7431326747847,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2018,21.026033831166,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, under-5","per 1,000 live births",0-5 years,2019,20.2806011784475,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1990,33.2781311275992,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1991,31.9803334144944,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1992,30.6807863376629,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1993,29.4237868340731,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1994,28.213337414184,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1995,27.0444851551702,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1996,25.9662956917817,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1997,24.9686741883309,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1998,24.01972029883,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1999,23.1428444473023,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2000,22.3112571688957,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2001,21.523179029753,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2002,20.7917432950544,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2003,20.1016553321927,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2004,19.4758549835395,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2005,18.8935303750075,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2006,18.3136943511208,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2007,17.7234152873166,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2008,17.1407228698408,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2009,16.5585765247881,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2010,15.9290053373298,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2011,15.2155679506124,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2012,14.5325625943905,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2013,13.9138076025922,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2014,13.3585483211769,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2015,12.849856088024,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2016,12.4035607020178,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2017,11.9561973454116,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2018,11.5328271863272,All sexes,Reference
"Egypt, Arab Rep.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2019,11.1415100089785,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1990,87,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1991,76,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1992,79,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1993,81,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1994,83,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1995,88,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1996,90,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1997,88,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1998,92,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,1999,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2000,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2001,99,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2002,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2003,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2004,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2005,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2006,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2007,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2008,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2009,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2010,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2011,96,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2012,93,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2013,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2014,94,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2015,93,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2016,95,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2017,94,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2018,95,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2019,95,All sexes,Reference
"Egypt, Arab Rep.","Immunization, DPT",% of children,12-23 months,2020,94,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,1994,57,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,1995,74,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,1996,77,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,1997,81,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,1998,88,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,1999,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2000,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2001,99,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2002,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2003,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2004,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2005,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2006,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2007,98,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2008,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2009,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2010,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2011,96,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2012,93,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2013,97,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2014,94,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2015,93,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2016,95,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2017,94,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2018,95,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2019,95,All sexes,Reference
"Egypt, Arab Rep.","Immunization, HepB3",% of one-year-old children,12-23 months,2020,94,All sexes,Reference
"Egypt, Arab Rep.","Contraceptive prevalence, modern methods",% of women,15-49,2000,77.2,All sexes,Reference
"Egypt, Arab Rep.","Contraceptive prevalence, modern methods",% of women,15-49,2003,78.8,All sexes,Reference
"Egypt, Arab Rep.","Contraceptive prevalence, modern methods",% of women,15-49,2005,79,All sexes,Reference
"Egypt, Arab Rep.","Contraceptive prevalence, modern methods",% of women,15-49,2008,80.1,All sexes,Reference
"Egypt, Arab Rep.","Contraceptive prevalence, modern methods",% of women,15-49,2014,80,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2000,91.314964,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2001,91.614662,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2002,91.91465,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2003,92.214943,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2004,92.515526,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2005,92.816406,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2006,93.117584,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2007,93.416809,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2008,93.715057,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2009,94.013779,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2010,94.312866,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2011,94.612434,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2012,94.91066,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2013,95.209427,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2014,95.508636,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2015,95.808334,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2016,96.108566,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2017,96.410461,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2018,96.713943,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2019,97.018974,All sexes,Reference
"Egypt, Arab Rep.",People using at least basic sanitation services,% of population,all,2020,97.32547,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2000,73,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2001,75,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2002,68,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2003,66,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2004,64,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2005,62,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2006,60,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2007,58,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2008,57,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2009,57,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2010,54,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2011,53,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2012,52,All sexes,Reference
El Salvador,"Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2013,50,All sexes,Reference
